NDC Description,NDC,NADAC Per Unit,Effective Date,Pricing Unit,Pharmacy Type Indicator,OTC,Explanation Code,Classification for Rate Setting,Corresponding Generic Drug NADAC Per Unit,Corresponding Generic Drug Effective Date,As of Date
OXTELLAR XR 600 MG TABLET,17772012301,21.95224,03/19/2025,EA,C/I,N,1,B,17.16052,03/19/2025,04/09/2025
OXYCONTIN ER 20 MG TABLET,59011042010,10.12818,01/01/2025,EA,C/I,N,2,B,7.48302,04/17/2024,04/09/2025
OXYCONTIN ER 20 MG TABLET,59011042020,10.12818,01/01/2025,EA,C/I,N,2,B,7.48302,04/17/2024,04/09/2025
OXYCONTIN ER 40 MG TABLET,59011044010,17.3553,01/01/2025,EA,C/I,N,2,B,12.8154,04/17/2024,04/09/2025
OXYCONTIN ER 40 MG TABLET,59011044020,17.3553,01/01/2025,EA,C/I,N,2,B,12.8154,04/17/2024,04/09/2025
PACERONE 100 MG TABLET,245014401,0.76993,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.69321,03/19/2025,04/09/2025
PACERONE 100 MG TABLET,245014430,0.76993,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.69321,03/19/2025,04/09/2025
PACERONE 100 MG TABLET,245014489,0.76993,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.69321,03/19/2025,04/09/2025
PACERONE 200 MG TABLET,245014701,0.13544,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.12502,03/19/2025,04/09/2025
PACERONE 200 MG TABLET,245014715,0.13544,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.12502,03/19/2025,04/09/2025
PACERONE 200 MG TABLET,245014760,0.13544,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.12502,03/19/2025,04/09/2025
PACERONE 200 MG TABLET,245014789,0.13544,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.12502,03/19/2025,04/09/2025
PACERONE 200 MG TABLET,245014790,0.13544,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.12502,03/19/2025,04/09/2025
PACERONE 400 MG TABLET,245164501,0.74189,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.44474,03/19/2025,04/09/2025
PACERONE 400 MG TABLET,245164530,0.74189,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.44474,03/19/2025,04/09/2025
PACERONE 400 MG TABLET,245164589,0.74189,03/19/2025,EA,C/I,N,"1, 6",B-ANDA,0.44474,03/19/2025,04/09/2025
PATADAY ONCE DAILY 0.2% DROPS,65815001,5.88455,03/19/2025,ML,C/I,Y,"1, 5",B,3.7632,03/19/2025,04/09/2025
PATADAY TWICE DAILY 0.1% DROPS,65427401,2.48236,03/19/2025,ML,C/I,Y,"1, 5",B,1.32435,03/19/2025,04/09/2025
PAXIL 10 MG TABLET,60505451703,9.38405,09/09/2024,EA,C/I,N,4,B,0.06757,03/19/2025,04/09/2025
PAXIL 20 MG TABLET,60505451803,9.84127,03/19/2025,EA,C/I,N,1,B,0.07135,03/19/2025,04/09/2025
PAXIL 30 MG TABLET,60505451903,10.11846,09/09/2024,EA,C/I,N,4,B,0.09629,03/19/2025,04/09/2025
PAXIL 40 MG TABLET,60505452003,10.64281,09/09/2024,EA,C/I,N,4,B,0.12775,03/19/2025,04/09/2025
PAXIL CR 12.5 MG TABLET,60505437703,9.65582,09/09/2024,EA,C/I,N,4,B,0.47139,03/19/2025,04/09/2025
PAXIL CR 25 MG TABLET,60505437803,10.13228,09/09/2024,EA,C/I,N,4,B,0.42784,03/19/2025,04/09/2025
PAXIL CR 37.5 MG TABLET,60505437903,10.42443,09/09/2024,EA,C/I,N,4,B,0.50901,03/19/2025,04/09/2025
PENNSAID 2% PUMP,75987004005,21.42209,11/20/2024,GM,C/I,N,"4, 5",B,0.68397,03/19/2025,04/09/2025
PENTASA 500 MG CAPSULE,54092019112,5.82963,03/19/2025,EA,C/I,N,1,B,3.60784,03/19/2025,04/09/2025
PERCOCET 10-325 MG TABLET,63481062970,39.67937,01/01/2025,EA,C/I,N,"2, 6",B-ANDA,0.27219,03/19/2025,04/09/2025
PERCOCET 5-325 MG TABLET,63481062370,28.03797,01/01/2025,EA,C/I,N,"4, 6",B-ANDA,0.13388,03/19/2025,04/09/2025
PERCOCET 5-325 MG TABLET,63481062385,28.03797,01/01/2025,EA,C/I,N,"4, 6",B-ANDA,0.13388,03/19/2025,04/09/2025
PERCOCET 7.5-325 MG TABLET,63481062870,30.29315,01/01/2025,EA,C/I,N,"4, 6",B-ANDA,0.22992,03/19/2025,04/09/2025
PERFOROMIST 20 MCG/2 ML SOLN,49502060530,9.75591,01/07/2025,ML,C/I,N,"4, 5",B,3.66766,03/19/2025,04/09/2025
PERFOROMIST 20 MCG/2 ML SOLN,49502060561,9.79484,01/07/2025,ML,C/I,N,"4, 5",B,3.59933,03/19/2025,04/09/2025
PLAVIX 75 MG TABLET,24117190,8.05504,01/03/2025,EA,C/I,N,4,B,0.06179,03/19/2025,04/09/2025
PRADAXA 110 MG CAPSULE,597010854,3.16269,03/19/2025,EA,C/I,N,1,B,1.97863,03/19/2025,04/09/2025
PRADAXA 110 MG CAPSULE,597010860,3.16269,03/19/2025,EA,C/I,N,1,B,1.97863,03/19/2025,04/09/2025
PRADAXA 150 MG CAPSULE,597036055,3.17152,03/19/2025,EA,C/I,N,1,B,1.64853,03/19/2025,04/09/2025
PRADAXA 150 MG CAPSULE,597036082,3.17152,03/19/2025,EA,C/I,N,1,B,1.64853,03/19/2025,04/09/2025
PRADAXA 75 MG CAPSULE,597035509,3.17231,03/19/2025,EA,C/I,N,1,B,1.77172,03/19/2025,04/09/2025
PRADAXA 75 MG CAPSULE,597035556,3.17231,03/19/2025,EA,C/I,N,1,B,1.77172,03/19/2025,04/09/2025
PRED FORTE 1% EYE DROPS,11980018005,30.69213,03/19/2025,ML,C/I,N,"1, 5",B,5.34364,03/19/2025,04/09/2025
PRED FORTE 1% EYE DROPS,11980018010,30.69864,03/19/2025,ML,C/I,N,"1, 5",B,5.25392,03/19/2025,04/09/2025
PRED FORTE 1% EYE DROPS,11980018015,30.89947,12/18/2024,ML,C/I,N,"4, 5",B,4.82698,03/19/2025,04/09/2025
PREVACID 24HR DR 15 MG CAPSULE,113600203,0.55471,03/19/2025,EA,C/I,Y,1,B,0.47401,03/19/2025,04/09/2025
PREVACID DR 15 MG SOLUTAB,64764054311,13.21459,03/19/2025,EA,C/I,N,1,B,2.02591,03/19/2025,04/09/2025
PREVACID DR 15 MG SOLUTAB,64764054330,13.21459,03/19/2025,EA,C/I,N,1,B,2.02591,03/19/2025,04/09/2025
PREVACID DR 30 MG CAPSULE,64764004613,13.28863,03/19/2025,EA,C/I,N,1,B,0.10416,03/19/2025,04/09/2025
PREVACID DR 30 MG SOLUTAB,64764054411,13.24691,03/19/2025,EA,C/I,N,1,B,2.65281,03/19/2025,04/09/2025
PREVACID DR 30 MG SOLUTAB,64764054430,13.24691,03/19/2025,EA,C/I,N,1,B,2.65281,03/19/2025,04/09/2025
PREZISTA 600 MG TABLET,59676056201,34.91172,03/19/2025,EA,C/I,N,1,B,1.48511,03/19/2025,04/09/2025
PREZISTA 800 MG TABLET,59676056630,69.89424,03/19/2025,EA,C/I,N,1,B,2.44936,03/19/2025,04/09/2025
PRISTIQ ER 100 MG TABLET,8122201,13.96329,03/19/2025,EA,C/I,N,1,B,0.47463,03/19/2025,04/09/2025
PRISTIQ ER 100 MG TABLET,8122214,13.96329,03/19/2025,EA,C/I,N,1,B,0.47463,03/19/2025,04/09/2025
PRISTIQ ER 100 MG TABLET,8122230,13.96329,03/19/2025,EA,C/I,N,1,B,0.47463,03/19/2025,04/09/2025
PRISTIQ ER 25 MG TABLET,8121030,13.96587,03/19/2025,EA,C/I,N,1,B,0.52713,03/19/2025,04/09/2025
PRISTIQ ER 50 MG TABLET,8121101,13.95684,03/19/2025,EA,C/I,N,1,B,0.46463,03/19/2025,04/09/2025
PRISTIQ ER 50 MG TABLET,8121114,13.95684,03/19/2025,EA,C/I,N,1,B,0.46463,03/19/2025,04/09/2025
PRISTIQ ER 50 MG TABLET,8121130,13.95684,03/19/2025,EA,C/I,N,1,B,0.46463,03/19/2025,04/09/2025
PROCENTRA 5 MG/5 ML SOLUTION,21724070105,1.62709,03/19/2025,ML,C/I,N,"1, 5, 6",B-ANDA,1.14457,03/19/2025,04/09/2025
PROCTOSOL-HC 2.5% CREAM,10631040701,1.00581,03/19/2025,GM,C/I,N,"1, 5, 6",B-ANDA,0.26695,03/19/2025,04/09/2025
PROGLYCEM 50 MG/ML ORAL SUSP,575620030,15.43002,01/01/2025,ML,C/I,N,"4, 5",B,7.0637,03/19/2025,04/09/2025
PROGRAF 0.5 MG CAPSULE,469060773,3.56112,01/13/2025,EA,C/I,N,4,B,0.15481,03/19/2025,04/09/2025
PROGRAF 1 MG CAPSULE,469061773,7.12621,01/13/2025,EA,C/I,N,2,B,0.18524,03/19/2025,04/09/2025
PROGRAF 5 MG CAPSULE,469065773,35.63406,01/22/2025,EA,C/I,N,4,B,0.79888,03/19/2025,04/09/2025
PROLENSA 0.07% EYE DROPS,24208060203,115.90056,01/01/2025,ML,C/I,N,"2, 5",B,16.5838,03/19/2025,04/09/2025
PROMETRIUM 100 MG CAPSULE,72989037230,16.03253,03/19/2025,EA,C/I,N,1,B,0.25973,03/19/2025,04/09/2025
PROMETRIUM 200 MG CAPSULE,72989037330,30.48817,03/19/2025,EA,C/I,N,1,B,0.43261,03/19/2025,04/09/2025
PROPECIA 1 MG TABLET,78206015202,3.40803,01/01/2025,EA,C/I,N,"2, 5",B,0.04578,03/19/2025,04/09/2025
PROPECIA 1 MG TABLET,78206015201,3.79272,01/01/2025,EA,C/I,N,"4, 5",B,0.04578,03/19/2025,04/09/2025
PROSCAR 5 MG TABLET,78206015301,5.45052,01/01/2025,EA,C/I,N,4,B,0.07167,03/19/2025,04/09/2025
PROSCAR 5 MG TABLET,78206015302,5.45052,01/01/2025,EA,C/I,N,4,B,0.07167,03/19/2025,04/09/2025
PROTONIX 40 MG SUSPENSION,8084401,13.77424,03/19/2025,EA,C/I,N,1,B,6.64337,03/19/2025,04/09/2025
PROTONIX 40 MG SUSPENSION,8084402,13.77424,03/19/2025,EA,C/I,N,1,B,6.64337,03/19/2025,04/09/2025
PROTONIX DR 20 MG TABLET,8084381,13.88784,03/19/2025,EA,C/I,N,1,B,0.04727,03/19/2025,04/09/2025
PROTONIX DR 40 MG TABLET,8084181,13.90162,03/19/2025,EA,C/I,N,1,B,0.03797,03/19/2025,04/09/2025
PROVIGIL 100 MG TABLET,63459010130,53.63395,01/01/2025,EA,C/I,N,4,B,0.3062,03/19/2025,04/09/2025
PROVIGIL 200 MG TABLET,63459020130,80.68941,01/01/2025,EA,C/I,N,4,B,0.3749,03/19/2025,04/09/2025
PROZAC 10 MG PULVULE,777310402,13.64627,03/19/2025,EA,C/I,N,1,B,0.03391,03/19/2025,04/09/2025
PROZAC 20 MG PULVULE,777310502,14.00574,03/19/2025,EA,C/I,N,1,B,0.03216,03/19/2025,04/09/2025
PROZAC 20 MG PULVULE,777310530,14.00574,03/19/2025,EA,C/I,N,1,B,0.03216,03/19/2025,04/09/2025
PROZAC 40 MG PULVULE,777310730,24.31963,03/19/2025,EA,C/I,N,1,B,0.06815,03/19/2025,04/09/2025
PULMICORT 0.25 MG/2 ML RESPUL,186198804,4.19585,03/19/2025,ML,C/I,N,"1, 5",B,0.92834,03/19/2025,04/09/2025
PULMICORT 0.5 MG/2 ML RESPULE,186198904,4.93392,03/19/2025,ML,C/I,N,"1, 5",B,0.97783,03/19/2025,04/09/2025
PULMICORT 1 MG/2 ML RESPULE,186199004,9.84243,03/19/2025,ML,C/I,N,"1, 5",B,4.41682,03/19/2025,04/09/2025
PYLERA CAPSULE,58914060120,2.43513,03/19/2025,EA,C/I,N,1,B,3.92029,03/19/2025,04/09/2025
PYLERA CAPSULE,61269038012,2.43513,03/19/2025,EA,C/I,N,1,B,3.92029,03/19/2025,04/09/2025
QUDEXY XR 100 MG CAPSULE,245107430,24.103,03/19/2025,EA,C/I,N,1,B,9.55798,03/19/2025,04/09/2025
QUDEXY XR 150 MG CAPSULE,245107530,29.52362,03/19/2025,EA,C/I,N,1,B,11.22674,03/19/2025,04/09/2025
QUDEXY XR 200 MG CAPSULE,245107330,32.87583,03/19/2025,EA,C/I,N,1,B,14.12317,03/19/2025,04/09/2025
QUDEXY XR 25 MG CAPSULE,245107130,9.33417,03/19/2025,EA,C/I,N,1,B,3.47162,03/19/2025,04/09/2025
RAPAFLO 4 MG CAPSULE,23614730,8.44587,03/19/2025,EA,C/I,N,1,B,0.45925,03/19/2025,04/09/2025
RAPAFLO 8 MG CAPSULE,23614230,8.39525,03/19/2025,EA,C/I,N,1,B,0.56992,03/19/2025,04/09/2025
RECTIV 0.4% OINTMENT,58914030180,20.49056,03/19/2025,GM,C/I,N,"1, 5",B,14.07801,03/19/2025,04/09/2025
REFRESH P.M. OINTMENT,23024004,2.44687,03/19/2025,GM,C/I,Y,"1, 5, 6",B,1.65428,03/19/2025,04/09/2025
REFRESH P.M. OINTMENT,23066704,2.44687,03/19/2025,GM,C/I,Y,"1, 5, 6",B,1.65428,03/19/2025,04/09/2025
REFRESH PLUS 0.5% EYE DROPS,23040370,0.25953,02/19/2025,EA,C/I,Y,"4, 5, 6",B,0.13786,03/19/2025,04/09/2025
REFRESH PLUS 0.5% EYE DROPS,23040330,0.29657,02/19/2025,EA,C/I,Y,"4, 5, 6",B,0.20603,03/19/2025,04/09/2025
REFRESH TEARS 0.5% EYE DROP,23079801,0.41075,03/19/2025,ML,C/I,Y,"1, 5, 6",B,0.36699,03/19/2025,04/09/2025
REFRESH TEARS 0.5% EYE DROP,23079815,0.55825,02/19/2025,ML,C/I,Y,"4, 5, 6",B,0.47739,03/19/2025,04/09/2025
RELPAX 20 MG TABLET,49233045,77.57364,03/19/2025,EA,C/I,N,1,B,2.29565,03/19/2025,04/09/2025
RELPAX 20 MG TABLET,49233079,77.57364,03/19/2025,EA,C/I,N,1,B,2.29565,03/19/2025,04/09/2025
RELPAX 40 MG TABLET,49234005,77.45713,03/19/2025,EA,C/I,N,1,B,2.0798,03/19/2025,04/09/2025
RELPAX 40 MG TABLET,49234045,77.45713,03/19/2025,EA,C/I,N,1,B,2.0798,03/19/2025,04/09/2025
RELPAX 40 MG TABLET,49234079,77.45713,03/19/2025,EA,C/I,N,1,B,2.0798,03/19/2025,04/09/2025
RELPAX 40 MG TABLET,58151036832,77.45713,03/19/2025,EA,C/I,N,1,B,2.0798,03/19/2025,04/09/2025
RELPAX 40 MG TABLET,58151036856,77.45713,03/19/2025,EA,C/I,N,1,B,2.0798,03/19/2025,04/09/2025
RELPAX 40 MG TABLET,58151036896,77.45713,03/19/2025,EA,C/I,N,1,B,2.0798,03/19/2025,04/09/2025
REMERON 15 MG TABLET,78206016001,6.18471,01/01/2025,EA,C/I,N,4,B,0.07406,03/19/2025,04/09/2025
REMERON 30 MG TABLET,78206016101,6.37698,01/01/2025,EA,C/I,N,4,B,0.08897,03/19/2025,04/09/2025
RENVELA 0.8 GM POWDER PACKET,58468013201,17.15578,01/22/2025,EA,C/I,N,4,B,1.48909,03/19/2025,04/09/2025
RENVELA 0.8 GM POWDER PACKET,58468013202,17.15578,01/22/2025,EA,C/I,N,4,B,1.48909,03/19/2025,04/09/2025
RENVELA 2.4 GM POWDER PACKET,58468013101,17.19896,03/19/2025,EA,C/I,N,1,B,1.48477,03/19/2025,04/09/2025
RENVELA 2.4 GM POWDER PACKET,58468013102,17.19896,03/19/2025,EA,C/I,N,1,B,1.48477,03/19/2025,04/09/2025
RENVELA 800 MG TABLET,58468013001,5.71318,03/19/2025,EA,C/I,N,1,B,0.21858,03/19/2025,04/09/2025
RENVELA 800 MG TABLET,58468013301,5.71318,03/19/2025,EA,C/I,N,1,B,0.21858,03/19/2025,04/09/2025
RESTASIS 0.05% EYE EMULSION,23916330,10.32351,03/19/2025,EA,C/I,N,"1, 5",B,2.46957,03/19/2025,04/09/2025
RESTASIS 0.05% EYE EMULSION,23916360,10.33271,03/19/2025,EA,C/I,N,"1, 5",B,2.28726,03/19/2025,04/09/2025
RETIN-A 0.01% GEL,187517245,0.95605,03/19/2025,GM,C/I,N,"1, 5",B,2.18259,03/19/2025,04/09/2025
RETIN-A 0.01% GEL,187517215,0.96059,03/19/2025,GM,C/I,N,"1, 5",B,3.2397,03/19/2025,04/09/2025
RETIN-A 0.025% CREAM,187516020,0.71947,03/19/2025,GM,C/I,N,"1, 5",B,0.82225,03/19/2025,04/09/2025
RETIN-A 0.025% CREAM,187516045,0.71988,03/19/2025,GM,C/I,N,"1, 5",B,0.69388,03/19/2025,04/09/2025
RETIN-A 0.025% GEL,187517045,0.96006,03/19/2025,GM,C/I,N,"1, 5",B,2.31242,03/19/2025,04/09/2025
RETIN-A 0.025% GEL,187517015,0.96058,03/19/2025,GM,C/I,N,"1, 5",B,3.25191,03/19/2025,04/09/2025
RETIN-A 0.05% CREAM,187516245,0.7198,03/19/2025,GM,C/I,N,"1, 5",B,1.59527,03/19/2025,04/09/2025
RETIN-A 0.05% CREAM,187516220,0.72042,03/19/2025,GM,C/I,N,"1, 5",B,1.68434,03/19/2025,04/09/2025
RETIN-A 0.1% CREAM,187516445,0.9597,03/19/2025,GM,C/I,N,"1, 5",B,1.28378,03/19/2025,04/09/2025
RETIN-A 0.1% CREAM,187516420,0.95993,03/19/2025,GM,C/I,N,"1, 5",B,1.61311,03/19/2025,04/09/2025
RETIN-A MICRO PUMP 0.08% GEL,187514850,17.34151,03/19/2025,GM,C/I,N,"1, 5",B,10.89528,03/19/2025,04/09/2025
REVATIO 10 MG/ML ORAL SUSP,69033621,88.22406,09/18/2024,ML,C/I,N,"4, 5",B,0.66618,03/19/2025,04/09/2025
RISPERDAL 0.5 MG TABLET,50458030201,4.42339,03/19/2025,EA,C/I,N,1,B,0.04041,03/19/2025,04/09/2025
RISPERDAL 0.5 MG TABLET,50458030206,4.42339,03/19/2025,EA,C/I,N,1,B,0.04041,03/19/2025,04/09/2025
RISPERDAL 1 MG TABLET,50458030001,4.71618,03/19/2025,EA,C/I,N,1,B,0.04594,03/19/2025,04/09/2025
RISPERDAL 1 MG TABLET,50458030006,4.71618,03/19/2025,EA,C/I,N,1,B,0.04594,03/19/2025,04/09/2025
RISPERDAL 1 MG/ML SOLUTION,50458030503,5.2572,03/19/2025,ML,C/I,N,"1, 5",B,0.7104,03/19/2025,04/09/2025
RISPERDAL 2 MG TABLET,50458032001,7.86838,03/19/2025,EA,C/I,N,1,B,0.05853,03/19/2025,04/09/2025
RISPERDAL 2 MG TABLET,50458032006,7.86838,03/19/2025,EA,C/I,N,1,B,0.05853,03/19/2025,04/09/2025
RISPERDAL 3 MG TABLET,50458033001,9.22917,03/19/2025,EA,C/I,N,1,B,0.06658,03/19/2025,04/09/2025
RISPERDAL 3 MG TABLET,50458033006,9.22917,03/19/2025,EA,C/I,N,1,B,0.06658,03/19/2025,04/09/2025
RISPERDAL 4 MG TABLET,50458035001,12.4009,03/19/2025,EA,C/I,N,1,B,0.08653,03/19/2025,04/09/2025
RISPERDAL 4 MG TABLET,50458035006,12.4009,03/19/2025,EA,C/I,N,1,B,0.08653,03/19/2025,04/09/2025
RISPERDAL CONSTA 25 MG VIAL,50458030611,620.59695,01/03/2025,EA,C/I,N,"2, 5",B,471.93175,03/19/2025,04/09/2025
RISPERDAL CONSTA 37.5 MG VIAL,50458030711,930.28193,01/03/2025,EA,C/I,N,"4, 5",B,710.78436,03/19/2025,04/09/2025
RISPERDAL CONSTA 50 MG VIAL,50458030811,1239.26162,01/03/2025,EA,C/I,N,"2, 5",B,965.55739,03/19/2025,04/09/2025
RITALIN 10 MG TABLET,78044005,1.13724,12/18/2024,EA,C/I,N,4,B,0.16471,03/19/2025,04/09/2025
RITALIN 10 MG TABLET,66758027401,1.13724,01/29/2025,EA,C/I,N,4,B,0.16471,03/19/2025,04/09/2025
RITALIN 20 MG TABLET,78044105,1.64042,12/18/2024,EA,C/I,N,4,B,0.22966,03/19/2025,04/09/2025
RITALIN 20 MG TABLET,66758027501,1.64042,01/29/2025,EA,C/I,N,4,B,0.22966,03/19/2025,04/09/2025
RITALIN 5 MG TABLET,78043905,0.79809,03/19/2025,EA,C/I,N,1,B,0.12941,03/19/2025,04/09/2025
RITALIN LA 10 MG CAPSULE,78042405,12.09333,03/19/2025,EA,C/I,N,1,B,4.08731,03/19/2025,04/09/2025
RITALIN LA 20 MG CAPSULE,78037005,12.08748,03/19/2025,EA,C/I,N,1,B,3.06865,03/19/2025,04/09/2025
RITALIN LA 30 MG CAPSULE,78037105,12.3962,03/19/2025,EA,C/I,N,1,B,2.92892,03/19/2025,04/09/2025
RITALIN LA 40 MG CAPSULE,78037205,12.69962,03/19/2025,EA,C/I,N,1,B,2.6754,03/19/2025,04/09/2025
ROXICODONE 15 MG TABLET,23635058110,4.99283,03/19/2025,EA,C/I,N,1,B,0.21858,03/19/2025,04/09/2025
ROXICODONE 30 MG TABLET,23635058210,9.83228,03/19/2025,EA,C/I,N,1,B,0.34881,03/19/2025,04/09/2025
ROZEREM 8 MG TABLET,64764080510,12.38567,03/19/2025,EA,C/I,N,1,B,0.78385,03/19/2025,04/09/2025
ROZEREM 8 MG TABLET,64764080530,12.38567,03/19/2025,EA,C/I,N,1,B,0.78385,03/19/2025,04/09/2025
SANDIMMUNE 25 MG CAPSULE,78024015,4.2915,01/14/2025,EA,C/I,N,4,B,2.7007,03/19/2025,04/09/2025
SANDIMMUNE 25 MG CAPSULE,78024061,4.2915,01/14/2025,EA,C/I,N,4,B,2.7007,03/19/2025,04/09/2025
SAPHRIS 10 MG TAB SUBLINGUAL,456241006,20.21298,03/12/2025,EA,C/I,N,4,B,2.94915,03/19/2025,04/09/2025
SAPHRIS 10 MG TAB SUBLINGUAL,456241060,20.21298,01/02/2025,EA,C/I,N,4,B,2.94915,03/19/2025,04/09/2025
SAPHRIS 2.5 MG TAB SUBLINGUAL,456240206,20.09824,01/02/2025,EA,C/I,N,4,B,3.22043,03/19/2025,04/09/2025
SAPHRIS 2.5 MG TAB SUBLINGUAL,456240260,20.09824,01/02/2025,EA,C/I,N,4,B,3.22043,03/19/2025,04/09/2025
SAPHRIS 5 MG TAB SUBLINGUAL,456240506,20.12485,01/02/2025,EA,C/I,N,2,B,2.41027,03/19/2025,04/09/2025
SAPHRIS 5 MG TAB SUBLINGUAL,456240560,20.12485,01/02/2025,EA,C/I,N,2,B,2.41027,03/19/2025,04/09/2025
SELZENTRY 150 MG TABLET,49702022318,27.89093,03/19/2025,EA,C/I,N,1,B,23.12675,03/19/2025,04/09/2025
SELZENTRY 300 MG TABLET,49702022418,28.01983,03/19/2025,EA,C/I,N,1,B,19.62799,03/19/2025,04/09/2025
SENOKOT 8.6 MG TABLET,67618030010,0.24631,03/19/2025,EA,C/I,Y,"1, 6",B,0.02511,03/19/2025,04/09/2025
SENOKOT 8.6 MG TABLET,67618030020,0.24631,03/19/2025,EA,C/I,Y,"1, 6",B,0.02511,03/19/2025,04/09/2025
SENOKOT 8.6 MG TABLET,67618030050,0.24631,03/19/2025,EA,C/I,Y,"1, 6",B,0.02511,03/19/2025,04/09/2025
SENOKOT-S TABLET,67618031001,0.40796,03/19/2025,EA,C/I,Y,"1, 6",B,0.03041,03/19/2025,04/09/2025
SENOKOT-S TABLET,67618031030,0.40796,03/19/2025,EA,C/I,Y,"1, 6",B,0.03041,03/19/2025,04/09/2025
SENOKOT-S TABLET,67618031060,0.40796,03/19/2025,EA,C/I,Y,"1, 6",B,0.03041,03/19/2025,04/09/2025
SENSIPAR 30 MG TABLET,55513007330,25.83967,12/18/2024,EA,C/I,N,4,B,0.34138,03/19/2025,04/09/2025
SEROQUEL 100 MG TABLET,310027110,6.40284,03/19/2025,EA,C/I,N,1,B,0.05618,03/19/2025,04/09/2025
SEROQUEL 200 MG TABLET,310027210,11.9147,03/19/2025,EA,C/I,N,1,B,0.10359,03/19/2025,04/09/2025
SEROQUEL 25 MG TABLET,310027510,3.72175,03/19/2025,EA,C/I,N,1,B,0.03263,03/19/2025,04/09/2025
SEROQUEL 300 MG TABLET,310027460,15.78333,03/19/2025,EA,C/I,N,1,B,0.15275,03/19/2025,04/09/2025
SEROQUEL 400 MG TABLET,310027910,18.61332,03/19/2025,EA,C/I,N,1,B,0.18093,03/19/2025,04/09/2025
SEROQUEL 50 MG TABLET,310027810,6.12533,03/19/2025,EA,C/I,N,1,B,0.04106,03/19/2025,04/09/2025
SEROQUEL XR 150 MG TABLET,310028160,14.20652,03/19/2025,EA,C/I,N,1,B,0.20582,03/19/2025,04/09/2025
SEROQUEL XR 200 MG TABLET,310028260,15.52177,11/20/2024,EA,C/I,N,4,B,0.24417,03/19/2025,04/09/2025
SEROQUEL XR 300 MG TABLET,310028360,20.50215,03/19/2025,EA,C/I,N,1,B,0.28345,03/19/2025,04/09/2025
SEROQUEL XR 400 MG TABLET,310028460,24.01193,03/19/2025,EA,C/I,N,1,B,0.31943,03/19/2025,04/09/2025
SEROQUEL XR 50 MG TABLET,310028060,7.90007,02/19/2025,EA,C/I,N,2,B,0.12061,03/19/2025,04/09/2025
SILVADENE 1% CREAM,61570013150,0.21802,02/19/2025,GM,C/I,N,"2, 5",B,0.13233,03/19/2025,04/09/2025
SILVADENE 1% CREAM,61570013155,0.21802,02/19/2025,GM,C/I,N,"2, 5",B,0.13233,03/19/2025,04/09/2025
SILVADENE 1% CREAM,61570013185,0.27464,02/19/2025,GM,C/I,N,"4, 5",B,0.12381,03/19/2025,04/09/2025
SILVADENE 1% CREAM,61570013120,0.4237,02/19/2025,GM,C/I,N,"2, 5",B,0.23394,03/19/2025,04/09/2025
SINEMET 25-100 MG TABLET,78206016801,1.35601,01/01/2025,EA,C/I,N,4,B,0.09598,03/19/2025,04/09/2025
SINGULAIR 10 MG TABLET,78206017201,8.81776,01/01/2025,EA,C/I,N,2,B,0.05461,03/19/2025,04/09/2025
SINGULAIR 10 MG TABLET,78206017202,8.81776,01/01/2025,EA,C/I,N,2,B,0.05461,03/19/2025,04/09/2025
SINGULAIR 5 MG TABLET CHEW,78206017301,8.83248,01/01/2025,EA,C/I,N,4,B,0.07698,03/19/2025,04/09/2025
SOMA 350 MG TABLET,37200101,10.851,01/07/2025,EA,C/I,N,4,B,0.06959,03/19/2025,04/09/2025
SPIRIVA HANDIHALER 18 MCG CAP,597007541,10.63128,01/01/2025,EA,C/I,N,"2, 5",B,12.7363,03/19/2025,04/09/2025
STRATTERA 10 MG CAPSULE,2322730,12.70529,03/19/2025,EA,C/I,N,1,B,0.40652,03/19/2025,04/09/2025
STRATTERA 100 MG CAPSULE,2325130,14.77244,03/19/2025,EA,C/I,N,1,B,0.54778,03/19/2025,04/09/2025
STRATTERA 18 MG CAPSULE,2323830,12.67298,03/19/2025,EA,C/I,N,1,B,0.50666,03/19/2025,04/09/2025
STRATTERA 25 MG CAPSULE,2322830,12.60534,03/19/2025,EA,C/I,N,1,B,0.44231,03/19/2025,04/09/2025
STRATTERA 40 MG CAPSULE,2322930,13.6928,03/19/2025,EA,C/I,N,1,B,0.49724,03/19/2025,04/09/2025
STRATTERA 60 MG CAPSULE,2323930,13.69557,03/19/2025,EA,C/I,N,1,B,0.52976,03/19/2025,04/09/2025
STRATTERA 80 MG CAPSULE,2325030,14.78013,03/19/2025,EA,C/I,N,1,B,0.57337,03/19/2025,04/09/2025
STROMECTOL 3 MG TABLET,6003220,4.4325,01/22/2025,EA,C/I,N,4,B,3.37389,03/19/2025,04/09/2025
